dataset,target,n_complete_units,n_observations,model,exact_10pct_bin_agreement,within_one_10pct_bin_agreement,mean_absolute_bin_error
Graded-test temporal holdout,vo2r,84,682,raw_hrr,0.5092695664124235,0.939030612244898,0.6076522022950593
Graded-test temporal holdout,vo2r,84,682,scaled_linear,0.5860900673400673,0.960950491307634,0.5065308699237271
Graded-test temporal holdout,vo2r,84,682,cychrr_t,0.5969838693052979,0.9626511715797432,0.4939363876863877
Graded-test temporal holdout,load_fraction,84,682,raw_hrr,0.6292620078334364,0.9771164021164022,0.3936215900501614
Graded-test temporal holdout,load_fraction,84,682,scaled_linear,0.6057969147254862,0.9866827286470145,0.4075203566274994
Graded-test temporal holdout,load_fraction,84,682,cychrr_t,0.6042100426028998,0.9894935752078609,0.4062963821892393
ACTES external validation,vo2r,18,1541,raw_hrr,0.4356270382889151,0.8845497124299686,0.6905144714778425
ACTES external validation,vo2r,18,1541,scaled_linear,0.4912033319683354,0.923898597697414,0.5929302232052407
ACTES external validation,vo2r,18,1541,cychrr_t,0.5112224137409732,0.9253975044384164,0.5709291429041613
ACTES external validation,power_fraction,18,1541,raw_hrr,0.3262102109723042,0.7340285572985557,0.999251545187142
ACTES external validation,power_fraction,18,1541,scaled_linear,0.3978582981238791,0.782483767046066,0.8514557837843939
ACTES external validation,power_fraction,18,1541,cychrr_t,0.4221421389854237,0.7936510456516352,0.8072969794101811
