dataset,target,hrr_band,n_complete_units_with_data,n_observations,comparator,comparator_mae,cychrr_t_mae,delta_mae_tail_minus_comparator,delta_ci_low,delta_ci_high,absolute_difference_percentage_points
Graded-test temporal holdout,vo2r,<0.60,83,223,scaled_linear,0.0504201241697198,0.0509890089940346,0.0005688848243147,-0.0003319162114959,0.0014698809331699,0.0568884824314768
Graded-test temporal holdout,vo2r,0.60-<0.80,84,184,scaled_linear,0.0570768699404652,0.0552491397212043,-0.0018277302192609,-0.003248881231741,-0.0004044397740531,-0.1827730219260968
Graded-test temporal holdout,vo2r,0.80-<0.90,82,109,scaled_linear,0.0553721618250215,0.0526737049696985,-0.0026984568553229,-0.0044607282020727,-0.0008873706325815,-0.2698456855322946
Graded-test temporal holdout,vo2r,>=0.90,84,166,scaled_linear,0.0368526909602057,0.0389302998776456,0.0020776089174398,-0.0011789707396647,0.0052807450699199,0.2077608917439834
Graded-test temporal holdout,load_fraction,<0.60,83,223,scaled_linear,0.0476516588775833,0.0459915019329123,-0.0016601569446709,-0.0030209126299863,-0.0002782796809914,-0.1660156944670959
Graded-test temporal holdout,load_fraction,0.60-<0.80,84,184,scaled_linear,0.0471483134175321,0.0456967647833737,-0.0014515486341583,-0.003558410821279,0.000697224643948,-0.1451548634158383
Graded-test temporal holdout,load_fraction,0.80-<0.90,82,109,scaled_linear,0.0386658084085451,0.0402502407938183,0.0015844323852731,-0.001095631970832,0.0041927931743591,0.1584432385273139
Graded-test temporal holdout,load_fraction,>=0.90,84,166,scaled_linear,0.0401334270796672,0.0269457023184229,-0.0131877247612442,-0.0148354630590713,-0.01157209105644,-1.318772476124427
ACTES external validation,vo2r,<0.60,18,778,scaled_linear,0.0549628612264535,0.0539519240735451,-0.0010109371529083,-0.0021256865733801,0.0001651729386313,-0.1010937152908395
ACTES external validation,vo2r,0.60-<0.80,18,313,scaled_linear,0.054004074891135,0.0514709635870421,-0.0025331113040929,-0.0044630348364477,-0.0004280460264326,-0.2533111304092941
ACTES external validation,vo2r,0.80-<0.90,17,183,scaled_linear,0.0743427602350171,0.0704927475103245,-0.0038500127246926,-0.0066534714793643,-0.0006698438040884,-0.3850012724692618
ACTES external validation,vo2r,>=0.90,18,267,scaled_linear,0.0667268887660798,0.0708875144849436,0.0041606257188637,0.0004765904874504,0.0080587384527681,0.4160625718863762
ACTES external validation,power_fraction,<0.60,18,778,scaled_linear,0.1071106638743397,0.10203682218058,-0.0050738416937596,-0.0060661977538493,-0.0039586067361007,-0.5073841693759683
ACTES external validation,power_fraction,0.60-<0.80,18,313,scaled_linear,0.0844391873778371,0.0773211912910089,-0.0071179960868281,-0.0094567841721211,-0.004205256440394,-0.7117996086828197
ACTES external validation,power_fraction,0.80-<0.90,17,183,scaled_linear,0.0707815950891585,0.0630132845289262,-0.0077683105602322,-0.0111729776208963,-0.0038412532063193,-0.7768310560232285
ACTES external validation,power_fraction,>=0.90,18,267,scaled_linear,0.0473046377232844,0.0451584308268273,-0.002146206896457,-0.004880722276199,0.0006170135738409,-0.2146206896457036
