file,raw_linear,scaled_linear,affine_linear,cycling_tail,dataset,target,representation,ID,delta_tail_minus_raw,setting
A1085.xlsx,0.0838135139271503,0.0524531191611092,0.0568242047612472,0.0505932451557043,Graded-test temporal holdout,vo2r,continuous,,-0.033220268771445995,"Temporal
VO$_2$R"
A1086.xlsx,0.0514210977176773,0.0209890848040136,0.0281035135743184,0.0216063100416704,Graded-test temporal holdout,vo2r,continuous,,-0.0298147876760069,"Temporal
VO$_2$R"
A1088.xlsx,0.0431180604490829,0.0354336872114754,0.0319286826053568,0.034127184675433,Graded-test temporal holdout,vo2r,continuous,,-0.008990875773649903,"Temporal
VO$_2$R"
A1096.xlsx,0.0411512667660209,0.0222627845236191,0.030797419107568,0.0172147882733861,Graded-test temporal holdout,vo2r,continuous,,-0.023936478492634798,"Temporal
VO$_2$R"
A1106.xlsx,0.0758015840023322,0.0539034365218583,0.0564512124373232,0.0493743572004293,Graded-test temporal holdout,vo2r,continuous,,-0.026427226801902896,"Temporal
VO$_2$R"
A1108.xlsx,0.0298012298012297,0.0127301649952033,0.0122014144300083,0.018214065692395,Graded-test temporal holdout,vo2r,continuous,,-0.011587164108834699,"Temporal
VO$_2$R"
A1116.xlsx,0.034270396695219,0.0630984301768139,0.0573064891465676,0.0642187692383448,Graded-test temporal holdout,vo2r,continuous,,0.029948372543125795,"Temporal
VO$_2$R"
A1117.xlsx,0.067406451254719,0.0371165084463183,0.0424798653740278,0.0332754450456777,Graded-test temporal holdout,vo2r,continuous,,-0.034131006209041304,"Temporal
VO$_2$R"
A1120.xlsx,0.0891023648249259,0.0598952343413076,0.0656364629580095,0.0535711300357132,Graded-test temporal holdout,vo2r,continuous,,-0.0355312347892127,"Temporal
VO$_2$R"
A202.xlsx,0.0675318335299621,0.0337944404140043,0.0353024633722719,0.0332334009340033,Graded-test temporal holdout,vo2r,continuous,,-0.0342984325959588,"Temporal
VO$_2$R"
A203.xlsx,0.0799449246337093,0.045259335734034,0.046370103336122,0.0431510936766455,Graded-test temporal holdout,vo2r,continuous,,-0.036793830957063796,"Temporal
VO$_2$R"
A204.xlsx,0.0538130221538717,0.0273510020750589,0.0312491151961066,0.0216889400942036,Graded-test temporal holdout,vo2r,continuous,,-0.0321240820596681,"Temporal
VO$_2$R"
A205.xlsx,0.0379723317898588,0.0286996116256057,0.0219869187689427,0.027807759772761,Graded-test temporal holdout,vo2r,continuous,,-0.010164572017097803,"Temporal
VO$_2$R"
A207.xlsx,0.0578602026808309,0.035504475835202,0.0338216116436566,0.0319624357863591,Graded-test temporal holdout,vo2r,continuous,,-0.025897766894471798,"Temporal
VO$_2$R"
A208.xlsx,0.0487719298245614,0.0141410211004104,0.0173706271852011,0.016422233112896,Graded-test temporal holdout,vo2r,continuous,,-0.0323496967116654,"Temporal
VO$_2$R"
A220.xlsx,0.0424125806045195,0.0225874974380762,0.0244352109407785,0.0209446286164629,Graded-test temporal holdout,vo2r,continuous,,-0.0214679519880566,"Temporal
VO$_2$R"
