hr_alignment_offset_seconds,target,n_participants,n_aligned_bins,raw_hrr_mae,scaled_linear_mae,affine_linear_mae,cychrr_t_mae,delta_tail_minus_raw,delta_tail_minus_scaled
-30,vo2r,18,1487,0.060374581944069895,0.056027518163137745,0.05510554331877885,0.0561408375164901,-0.004233744427579792,0.00011331935335236246
-30,power_fraction,18,1487,0.08409191960989675,0.07289793112381517,0.07150259843165722,0.06959057531201553,-0.0145013442978812,-0.0033073558117996207
-20,vo2r,18,1505,0.062337789298598824,0.05498583954219533,0.055218150292820074,0.05455483158342708,-0.007782957715171753,-0.00043100795876825697
-20,power_fraction,18,1505,0.09008191663924922,0.07663674149431896,0.07515165719641898,0.07256187582165886,-0.01752004081759036,-0.004074865672660082
-10,vo2r,18,1523,0.06582551608631099,0.055574315888385656,0.0573800291421378,0.0547687585739598,-0.011056757512351177,-0.0008055573144258538
-10,power_fraction,18,1523,0.0964790599330253,0.08106374679715728,0.07947880920452662,0.0762368256064078,-0.020242234326617523,-0.0048269211907495
0,vo2r,18,1541,0.07165229742252671,0.058831458232283196,0.061644938551483786,0.05789781275307145,-0.013754484669455272,-0.0009336454792117653
0,power_fraction,18,1541,0.10321211906191137,0.08615288188715312,0.08451939607043295,0.08073148398336424,-0.022480635078547126,-0.005421397903788853
10,vo2r,18,1523,0.07788466878746206,0.06313269845258207,0.06645220602733776,0.06206075184642791,-0.015823916941034154,-0.001071946606154165
10,power_fraction,18,1523,0.11177187667138472,0.09254692468684274,0.09083334863593917,0.08693826250371534,-0.024833614167669396,-0.005608662183127418
20,vo2r,18,1505,0.08576695190667934,0.06882926437897513,0.07211474931418708,0.06755171574378255,-0.01821523616289679,-0.0012775486351925835
20,power_fraction,18,1505,0.12093688111144393,0.0999636623800214,0.09822022359656399,0.0943102307171258,-0.02662665039431814,-0.005653431662895608
30,vo2r,18,1487,0.09325074333258224,0.07422559608873863,0.07766240172730984,0.07279906148721021,-0.020451681845372025,-0.0014265346015284138
30,power_fraction,18,1487,0.1302851690891525,0.10784221836214723,0.10610543929040185,0.10226740701750169,-0.02801776207165083,-0.005574811344645551
