file,raw_hrr,scaled_linear,affine_linear,cychrr_t,dataset,target,scenario,ID
A1085.xlsx,0.08381351392715031,0.052453119161109354,0.05682420476124723,0.05059324515570431,Graded-test temporal holdout,vo2r,all observations,
A1086.xlsx,0.05142109771767731,0.020989084804013694,0.028103513574318457,0.02160631004167042,Graded-test temporal holdout,vo2r,all observations,
A1088.xlsx,0.043118060449082944,0.0354336872114755,0.03192868260535684,0.03412718467543308,Graded-test temporal holdout,vo2r,all observations,
A1096.xlsx,0.04115126676602093,0.02226278452361919,0.030797419107568003,0.01721478827338615,Graded-test temporal holdout,vo2r,all observations,
A1106.xlsx,0.07580158400233225,0.053903436521858396,0.056451212437323255,0.04937435720042936,Graded-test temporal holdout,vo2r,all observations,
A1108.xlsx,0.029801229801229772,0.012730164995203352,0.012201414430008313,0.01821406569239508,Graded-test temporal holdout,vo2r,all observations,
A1116.xlsx,0.034270396695219016,0.06309843017681382,0.057306489146567635,0.06421876923834488,Graded-test temporal holdout,vo2r,all observations,
A1117.xlsx,0.06740645125471906,0.03711650844631834,0.04247986537402784,0.03327544504567775,Graded-test temporal holdout,vo2r,all observations,
A1120.xlsx,0.08910236482492591,0.05989523434130777,0.06563646295800947,0.05357113003571323,Graded-test temporal holdout,vo2r,all observations,
A202.xlsx,0.06753183352996217,0.033794440414004395,0.035302463372271914,0.03323340093400336,Graded-test temporal holdout,vo2r,all observations,
A203.xlsx,0.07994492463370934,0.04525933573403416,0.046370103336122064,0.04315109367664554,Graded-test temporal holdout,vo2r,all observations,
A204.xlsx,0.05381302215387172,0.027351002075058972,0.031249115196106625,0.021688940094203607,Graded-test temporal holdout,vo2r,all observations,
A205.xlsx,0.0379723317898588,0.028699611625605786,0.021986918768942796,0.027807759772761034,Graded-test temporal holdout,vo2r,all observations,
A207.xlsx,0.057860202680830926,0.035504475835202096,0.03382161164365666,0.03196243578635916,Graded-test temporal holdout,vo2r,all observations,
A208.xlsx,0.048771929824561466,0.014141021100410555,0.017370627185201125,0.016422233112896055,Graded-test temporal holdout,vo2r,all observations,
A220.xlsx,0.042412580604519544,0.02258749743807623,0.02443521094077855,0.02094462861646297,Graded-test temporal holdout,vo2r,all observations,
A221.xlsx,0.04365322177822187,0.02354431011659821,0.026298625557787725,0.0225773924883991,Graded-test temporal holdout,vo2r,all observations,
A226.xlsx,0.06882760212324027,0.0398816081144386,0.04060718809864524,0.04129967444304229,Graded-test temporal holdout,vo2r,all observations,
A232.xlsx,0.023650601017105866,0.0474991237102794,0.04575598645328796,0.047800962276507784,Graded-test temporal holdout,vo2r,all observations,
A236.xlsx,0.04093880613010398,0.03061356410989785,0.02221731814885155,0.03119446903224974,Graded-test temporal holdout,vo2r,all observations,
A237.xlsx,0.05204292568395267,0.022392341624552926,0.028092713831661585,0.021958199986971398,Graded-test temporal holdout,vo2r,all observations,
A238.xlsx,0.03625772623098821,0.022016577343733572,0.026520035635458954,0.02234820882500227,Graded-test temporal holdout,vo2r,all observations,
A239.xlsx,0.022726423833144063,0.037614295984031106,0.03540230406305408,0.041628440840183335,Graded-test temporal holdout,vo2r,all observations,
A240.xlsx,0.048340841145516324,0.026608113089051637,0.030631391604346726,0.021731162818660055,Graded-test temporal holdout,vo2r,all observations,
A241.xlsx,0.04219271311028692,0.0228606660910929,0.03177242856893005,0.013640798971766824,Graded-test temporal holdout,vo2r,all observations,
A246.xlsx,0.10660721959604638,0.12227613690085534,0.11177932760197833,0.1324467078946181,Graded-test temporal holdout,vo2r,all observations,
