dataset,target,scenario,n_complete_units,n_observations,comparator,comparator_mae,cychrr_t_mae,delta_mae_tail_minus_comparator,delta_ci_low,delta_ci_high,absolute_difference_percentage_points,cychrr_t_wins
Graded-test temporal holdout,vo2r,all observations,84,682,raw_hrr,0.06169785440145427,0.05095003969032746,-0.01074781471112681,-0.015309375641207618,-0.006023638405265982,-1.074781471112681,57
Graded-test temporal holdout,vo2r,all observations,84,682,scaled_linear,0.050809943048145595,0.05095003969032746,0.0001400966421818813,-0.0007908647396279285,0.0010668991120421686,0.01400966421818813,39
Graded-test temporal holdout,vo2r,all observations,84,682,affine_linear,0.05041910136941477,0.05095003969032746,0.0005309383209127059,-0.0013667343467735713,0.002491970169606866,0.05309383209127059,41
Graded-test temporal holdout,vo2r,exclude each unit target maximum,84,598,raw_hrr,0.06465692039866573,0.05291095498876511,-0.01174596540990063,-0.016889744332326796,-0.006424398019553791,-1.174596540990063,58
Graded-test temporal holdout,vo2r,exclude each unit target maximum,84,598,scaled_linear,0.053467632264741646,0.05291095498876511,-0.0005566772759765308,-0.0015976738939656612,0.0005291130355404739,-0.05566772759765308,52
Graded-test temporal holdout,vo2r,exclude each unit target maximum,84,598,affine_linear,0.05197995784020947,0.05291095498876511,0.0009309971485556375,-0.0011932457467077858,0.003241355628656155,0.09309971485556376,47
Graded-test temporal holdout,vo2r,exclude HRR >= 0.95,84,579,raw_hrr,0.06449520865499107,0.05296261681398916,-0.011532591841001907,-0.016837175541053233,-0.0061609443487684115,-1.1532591841001907,58
Graded-test temporal holdout,vo2r,exclude HRR >= 0.95,84,579,scaled_linear,0.05379510950982745,0.05296261681398916,-0.0008324926958382906,-0.0019250683878286852,0.00026679369039172456,-0.08324926958382907,52
Graded-test temporal holdout,vo2r,exclude HRR >= 0.95,84,579,affine_linear,0.05240752340652112,0.05296261681398916,0.000555093407468044,-0.0017006232325847723,0.002800233167163885,0.0555093407468044,49
Graded-test temporal holdout,load_fraction,all observations,84,682,raw_hrr,0.04611763534937397,0.03985482781071597,-0.006262807538657995,-0.010923166992621495,-0.0014297415841739815,-0.6262807538657995,54
Graded-test temporal holdout,load_fraction,all observations,84,682,scaled_linear,0.04348069235364843,0.03985482781071597,-0.0036258645429324632,-0.005001910371709427,-0.002181418404180743,-0.3625864542932463,55
Graded-test temporal holdout,load_fraction,all observations,84,682,affine_linear,0.04304632894945175,0.03985482781071597,-0.00319150113873578,-0.004428003762226708,-0.0019899590105907404,-0.319150113873578,52
Graded-test temporal holdout,load_fraction,exclude each unit target maximum,84,598,raw_hrr,0.051276358942442715,0.04273770012135202,-0.008538658821090695,-0.013872556782169997,-0.00316474115048339,-0.8538658821090694,55
Graded-test temporal holdout,load_fraction,exclude each unit target maximum,84,598,scaled_linear,0.042711817397986525,0.04273770012135202,2.5882723365499004e-05,-0.0014518092138790148,0.0015192392081840986,0.0025882723365499003,44
Graded-test temporal holdout,load_fraction,exclude each unit target maximum,84,598,affine_linear,0.04267011529220877,0.04273770012135202,6.758482914324897e-05,-0.0012142388248526212,0.001358355576327353,0.006758482914324897,41
Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,84,579,raw_hrr,0.05251668603711539,0.04381769590902637,-0.008698990128089031,-0.01406426653833143,-0.0031829152648429134,-0.8698990128089031,55
Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,84,579,scaled_linear,0.044158299939900836,0.04381769590902637,-0.0003406040308744602,-0.001943406327453891,0.0012589320497123097,-0.03406040308744602,45
Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,84,579,affine_linear,0.044065098016212105,0.04381769590902637,-0.00024740210718573514,-0.0016385669213616243,0.0011140156977635259,-0.024740210718573515,41
ACTES external validation,vo2r,all observations,18,1541,raw_hrr,0.07165229742252671,0.05789781275307145,-0.013754484669455272,-0.019551383185494237,-0.0073504777871713405,-1.3754484669455271,15
ACTES external validation,vo2r,all observations,18,1541,scaled_linear,0.058831458232283196,0.05789781275307145,-0.0009336454792117653,-0.002076014312567795,0.00029076777178540267,-0.09336454792117653,12
ACTES external validation,vo2r,all observations,18,1541,affine_linear,0.061644938551483786,0.05789781275307145,-0.003747125798412351,-0.006763638703316016,-0.00040511723516193835,-0.3747125798412351,13
ACTES external validation,vo2r,exclude each unit target maximum,18,1523,raw_hrr,0.07207140521327787,0.05792803193836295,-0.01414337327491492,-0.019984465491008123,-0.007597192755009647,-1.4143373274914919,15
ACTES external validation,vo2r,exclude each unit target maximum,18,1523,scaled_linear,0.058650962657711116,0.05792803193836295,-0.0007229307193481749,-0.0018956704948378338,0.0005154226044750187,-0.07229307193481749,12
ACTES external validation,vo2r,exclude each unit target maximum,18,1523,affine_linear,0.06138758655031071,0.05792803193836295,-0.003459554611947769,-0.00644404480808112,-9.503890624897522e-05,-0.3459554611947769,13
ACTES external validation,vo2r,exclude HRR >= 0.95,18,1389,raw_hrr,0.07122987811100528,0.05662263012901022,-0.014607247981995074,-0.02066701137348685,-0.007902134294117524,-1.4607247981995075,15
