dataset,target,hrr_band,n_complete_units_with_data,n_observations,comparator,comparator_mae,cychrr_t_mae,delta_mae_tail_minus_comparator,delta_ci_low,delta_ci_high,absolute_difference_percentage_points
Graded-test temporal holdout,vo2r,<0.60,83,223,raw_hrr,0.05203850279051999,0.0509890089940346,-0.0010494937964853962,-0.0054623574745985256,0.003485210542849083,-0.10494937964853962
Graded-test temporal holdout,vo2r,<0.60,83,223,scaled_linear,0.05042012416971983,0.0509890089940346,0.000568884824314768,-0.00033191621149594643,0.0014698809331699786,0.0568884824314768
Graded-test temporal holdout,vo2r,<0.60,83,223,affine_linear,0.04855839411009871,0.0509890089940346,0.00243061488393588,-0.001377166644027142,0.006260970464911945,0.243061488393588
Graded-test temporal holdout,vo2r,0.60-<0.80,84,184,raw_hrr,0.0707334931024431,0.05524913972120433,-0.015484353381238774,-0.021899719554875498,-0.008978793868089814,-1.5484353381238773
Graded-test temporal holdout,vo2r,0.60-<0.80,84,184,scaled_linear,0.057076869940465284,0.05524913972120433,-0.0018277302192609684,-0.0032488812317410074,-0.0004044397740531115,-0.18277302192609685
Graded-test temporal holdout,vo2r,0.60-<0.80,84,184,affine_linear,0.05827238288892619,0.05524913972120433,-0.0030232431677218643,-0.005183713633935391,-0.000834220105665896,-0.3023243167721864
Graded-test temporal holdout,vo2r,0.80-<0.90,82,109,raw_hrr,0.07617281012895469,0.05267370496969855,-0.02349910515925612,-0.030643822695640043,-0.01569539905571653,-2.349910515925612
Graded-test temporal holdout,vo2r,0.80-<0.90,82,109,scaled_linear,0.05537216182502152,0.05267370496969855,-0.0026984568553229463,-0.004460728202072723,-0.000887370632581578,-0.2698456855322946
Graded-test temporal holdout,vo2r,0.80-<0.90,82,109,affine_linear,0.0541567006504671,0.05267370496969855,-0.0014829956807685227,-0.002492197868381858,-0.00044027258222333884,-0.14829956807685227
Graded-test temporal holdout,vo2r,>=0.90,84,166,raw_hrr,0.050393586631663566,0.038930299877645604,-0.011463286754017957,-0.015065970486749571,-0.007674365060654552,-1.1463286754017956
