dataset,target,tau,kappa,locked_parameters,n_complete_units,mae
Graded-test temporal holdout,vo2r,0.85,3.0,False,84,0.05095636751587608
Graded-test temporal holdout,vo2r,0.85,5.75,False,84,0.05742970340934305
Graded-test temporal holdout,vo2r,0.9,3.0,False,84,0.05405058754484585
Graded-test temporal holdout,vo2r,0.9,5.75,True,84,0.05095003969032746
Graded-test temporal holdout,vo2r,0.9,8.0,False,84,0.051099098288362906
Graded-test temporal holdout,vo2r,0.9,12.0,False,84,0.05661179601098306
Graded-test temporal holdout,vo2r,0.95,10.0,False,84,0.05456303589625276
Graded-test temporal holdout,vo2r,0.95,20.0,False,84,0.05101751786775382
Graded-test temporal holdout,load_fraction,0.85,3.0,False,84,0.03958443111436207
Graded-test temporal holdout,load_fraction,0.85,5.75,False,84,0.04902735944986623
Graded-test temporal holdout,load_fraction,0.9,3.0,False,84,0.04040250570736611
Graded-test temporal holdout,load_fraction,0.9,5.75,True,84,0.03985482781071597
Graded-test temporal holdout,load_fraction,0.9,8.0,False,84,0.04162265419637747
Graded-test temporal holdout,load_fraction,0.9,12.0,False,84,0.04944634238577984
Graded-test temporal holdout,load_fraction,0.95,10.0,False,84,0.04124262710750625
Graded-test temporal holdout,load_fraction,0.95,20.0,False,84,0.04045509817033014
ACTES external validation,vo2r,0.85,3.0,False,18,0.05722288618967659
ACTES external validation,vo2r,0.85,5.75,False,18,0.056935952320424255
ACTES external validation,vo2r,0.9,3.0,False,18,0.06293484524180043
ACTES external validation,vo2r,0.9,5.75,True,18,0.05789781275307145
ACTES external validation,vo2r,0.9,8.0,False,18,0.055777049757528986
ACTES external validation,vo2r,0.9,12.0,False,18,0.056389568067652905
ACTES external validation,vo2r,0.95,10.0,False,18,0.06382507715051654
ACTES external validation,vo2r,0.95,20.0,False,18,0.05871179858156618
ACTES external validation,power_fraction,0.85,3.0,False,18,0.07847060002157778
ACTES external validation,power_fraction,0.85,5.75,False,18,0.06776734613536439
ACTES external validation,power_fraction,0.9,3.0,False,18,0.09011968752698994
ACTES external validation,power_fraction,0.9,5.75,True,18,0.08073148398336424
ACTES external validation,power_fraction,0.9,8.0,False,18,0.075113944871125
ACTES external validation,power_fraction,0.9,12.0,False,18,0.06919126656567767
ACTES external validation,power_fraction,0.95,10.0,False,18,0.09184923714084295
ACTES external validation,power_fraction,0.95,20.0,False,18,0.08276748983411228
