file,raw_linear,scaled_linear,affine_linear,cycling_tail,dataset,target,representation,ID
A1085.xlsx,0.08381351392715031,0.052453119161109285,0.05682420476124723,0.05059324515570431,Graded-test temporal holdout,vo2r,continuous,
A1086.xlsx,0.05142109771767731,0.020989084804013652,0.02810351357431847,0.02160631004167042,Graded-test temporal holdout,vo2r,continuous,
A1088.xlsx,0.043118060449082944,0.035433687211475474,0.03192868260535684,0.03412718467543308,Graded-test temporal holdout,vo2r,continuous,
A1096.xlsx,0.04115126676602093,0.022262784523619177,0.030797419107568003,0.01721478827338615,Graded-test temporal holdout,vo2r,continuous,
A1106.xlsx,0.07580158400233225,0.053903436521858375,0.056451212437323255,0.04937435720042936,Graded-test temporal holdout,vo2r,continuous,
A1108.xlsx,0.029801229801229772,0.012730164995203361,0.012201414430008313,0.01821406569239508,Graded-test temporal holdout,vo2r,continuous,
A1116.xlsx,0.034270396695219016,0.06309843017681392,0.05730648914656763,0.06421876923834488,Graded-test temporal holdout,vo2r,continuous,
A1117.xlsx,0.06740645125471906,0.03711650844631832,0.042479865374027856,0.03327544504567775,Graded-test temporal holdout,vo2r,continuous,
A1120.xlsx,0.08910236482492591,0.059895234341307675,0.0656364629580095,0.05357113003571323,Graded-test temporal holdout,vo2r,continuous,
A202.xlsx,0.06753183352996217,0.03379444041400434,0.03530246337227194,0.03323340093400336,Graded-test temporal holdout,vo2r,continuous,
A203.xlsx,0.07994492463370934,0.045259335734034074,0.04637010333612208,0.04315109367664554,Graded-test temporal holdout,vo2r,continuous,
A204.xlsx,0.05381302215387172,0.027351002075058944,0.03124911519610668,0.021688940094203607,Graded-test temporal holdout,vo2r,continuous,
A205.xlsx,0.0379723317898588,0.028699611625605786,0.02198691876894279,0.027807759772761034,Graded-test temporal holdout,vo2r,continuous,
A207.xlsx,0.057860202680830926,0.035504475835202054,0.03382161164365667,0.03196243578635916,Graded-test temporal holdout,vo2r,continuous,
A208.xlsx,0.048771929824561466,0.014141021100410489,0.01737062718520117,0.016422233112896055,Graded-test temporal holdout,vo2r,continuous,
A220.xlsx,0.042412580604519544,0.022587497438076212,0.02443521094077857,0.02094462861646297,Graded-test temporal holdout,vo2r,continuous,
A221.xlsx,0.04365322177822187,0.02354431011659818,0.026298625557787725,0.0225773924883991,Graded-test temporal holdout,vo2r,continuous,
A226.xlsx,0.06882760212324027,0.03988160811443855,0.04060718809864524,0.04129967444304229,Graded-test temporal holdout,vo2r,continuous,
A232.xlsx,0.023650601017105866,0.047499123710279485,0.04575598645328794,0.047800962276507784,Graded-test temporal holdout,vo2r,continuous,
A236.xlsx,0.04093880613010398,0.03061356410989785,0.022217318148851556,0.03119446903224974,Graded-test temporal holdout,vo2r,continuous,
A237.xlsx,0.05204292568395267,0.02239234162455283,0.028092713831661627,0.021958199986971398,Graded-test temporal holdout,vo2r,continuous,
A238.xlsx,0.03625772623098821,0.022016577343733586,0.02652003563545898,0.02234820882500227,Graded-test temporal holdout,vo2r,continuous,
A239.xlsx,0.022726423833144063,0.03761429598403116,0.035402304063054085,0.041628440840183335,Graded-test temporal holdout,vo2r,continuous,
A240.xlsx,0.048340841145516324,0.026608113089051623,0.03063139160434676,0.021731162818660055,Graded-test temporal holdout,vo2r,continuous,
A241.xlsx,0.04219271311028692,0.022860666091092868,0.03177242856893005,0.013640798971766824,Graded-test temporal holdout,vo2r,continuous,
A246.xlsx,0.10660721959604638,0.12227613690085536,0.11177932760197828,0.1324467078946181,Graded-test temporal holdout,vo2r,continuous,
A251.xlsx,0.038213180008845674,0.024697454362960312,0.02791190254442492,0.025398338131128524,Graded-test temporal holdout,vo2r,continuous,
A274.xlsx,0.07394314617585222,0.09975007204956521,0.09256451461961737,0.10099497772685861,Graded-test temporal holdout,vo2r,continuous,
A275.xlsx,0.06045435986321114,0.08642762830902116,0.07877072962666558,0.08809341073207574,Graded-test temporal holdout,vo2r,continuous,
A294.xlsx,0.08422315202231524,0.054110494670768346,0.05909283234599367,0.054089345875743204,Graded-test temporal holdout,vo2r,continuous,
A295.xlsx,0.11169967576858472,0.08042300804499727,0.08361545822266515,0.08073278916669517,Graded-test temporal holdout,vo2r,continuous,
A3000.xlsx,0.0430469138674058,0.029966316808522457,0.020249967748538218,0.03211110565393328,Graded-test temporal holdout,vo2r,continuous,
A3001.xlsx,0.07667004048583001,0.0855891035562095,0.07817700338474347,0.08921707306581109,Graded-test temporal holdout,vo2r,continuous,
A3002.xlsx,0.0843979868370113,0.056482917447535384,0.054951475836575926,0.05824376198309319,Graded-test temporal holdout,vo2r,continuous,
A3003.xlsx,0.03603896103896106,0.014979927893059615,0.019506596810542984,0.01958114710548898,Graded-test temporal holdout,vo2r,continuous,
A3005.xlsx,0.6667610736193549,0.6347405647801458,0.637016923108415,0.6351628329335887,Graded-test temporal holdout,vo2r,continuous,
A3008.xlsx,0.02244580404776019,0.04152390804116759,0.03571867893216872,0.04536850146999886,Graded-test temporal holdout,vo2r,continuous,
A3009.xlsx,0.025166548756042923,0.04055067663083282,0.034485199379198396,0.047360019139545746,Graded-test temporal holdout,vo2r,continuous,
A3010.xlsx,0.011064030131826672,0.03686748379190467,0.033602492404442776,0.039619683554125776,Graded-test temporal holdout,vo2r,continuous,
A3011.xlsx,0.020213678032051676,0.010980023986376106,0.0109007046099035,0.01652211812136663,Graded-test temporal holdout,vo2r,continuous,
A3012.xlsx,0.060142381012146286,0.024707715013468246,0.02517708759112941,0.02661163019336016,Graded-test temporal holdout,vo2r,continuous,
A3013.xlsx,0.053168044077135,0.030790266035707857,0.03471546591646336,0.025449197099506323,Graded-test temporal holdout,vo2r,continuous,
A3014.xlsx,0.020463354903582604,0.023020881843629427,0.0202763250277631,0.02594908297284516,Graded-test temporal holdout,vo2r,continuous,
A3018.xlsx,0.06227106227106223,0.040589597229632464,0.040720560524365894,0.036954790973294495,Graded-test temporal holdout,vo2r,continuous,
A3019.xlsx,0.06915652339292512,0.044119293971878554,0.04421747292929695,0.0470981884107279,Graded-test temporal holdout,vo2r,continuous,
A3020.xlsx,0.010974588496914135,0.027119970451704865,0.0202426247847147,0.031544153720344574,Graded-test temporal holdout,vo2r,continuous,
A3022.xlsx,0.07058238918704035,0.057695054903136166,0.04787065267434792,0.06374771606076877,Graded-test temporal holdout,vo2r,continuous,
A3023.xlsx,0.050361364403917586,0.037695861705495805,0.039194861352829805,0.029821006416751093,Graded-test temporal holdout,vo2r,continuous,
A3024.xlsx,0.10122165914711934,0.07204800784528868,0.06882712096188165,0.07386961119665869,Graded-test temporal holdout,vo2r,continuous,
A3027.xlsx,0.05050971538040507,0.03342951837394027,0.03750972144605053,0.028102535853853715,Graded-test temporal holdout,vo2r,continuous,
A3031.xlsx,0.0760103383458646,0.047212182139335784,0.05117238101141608,0.046360966532008406,Graded-test temporal holdout,vo2r,continuous,
A3032.xlsx,0.046473311933642035,0.06220360028188082,0.05828419457627715,0.06923177038252463,Graded-test temporal holdout,vo2r,continuous,
A3036.xlsx,0.04836601307189539,0.025229707155668316,0.0336659433679121,0.02012718229748785,Graded-test temporal holdout,vo2r,continuous,
A3037.xlsx,0.02016353881118063,0.03537225433431833,0.03466773123022902,0.035280646187126265,Graded-test temporal holdout,vo2r,continuous,
A3039.xlsx,0.042798475243771436,0.03387918743114617,0.04026912551058827,0.028836321326788882,Graded-test temporal holdout,vo2r,continuous,
A3041.xlsx,0.06462379421221864,0.09144689732155269,0.08358058798037227,0.09431004872560864,Graded-test temporal holdout,vo2r,continuous,
A3043.xlsx,0.04188286163522009,0.06881597145533969,0.062258969290912965,0.07196079497301386,Graded-test temporal holdout,vo2r,continuous,
A3045.xlsx,0.06807407280631186,0.06979964281253631,0.05914119080051593,0.0790369443351322,Graded-test temporal holdout,vo2r,continuous,
