dataset,target,representation,n_analysis_units,comparator,comparator_mae,cycling_tail_mae,delta_mae_tail_minus_comparator,delta_ci_low,delta_ci_high,tail_wins
Graded-test temporal holdout,vo2r,continuous,84,raw_linear,0.06169785440145427,0.05095003969032746,-0.01074781471112681,-0.015309375641207618,-0.006023638405265982,57
Graded-test temporal holdout,vo2r,continuous,84,scaled_linear,0.050809943048145595,0.05095003969032746,0.000140096642181887,-0.00076715945860902,0.001057083231274135,39
Graded-test temporal holdout,vo2r,continuous,84,affine_linear,0.05041910136941477,0.05095003969032746,0.0005309383209127022,-0.0013376540756365898,0.002452369470157435,41
Graded-test temporal holdout,load_fraction,continuous,84,raw_linear,0.04611763534937397,0.03985482781071597,-0.006262807538657995,-0.010830050505834422,-0.0014617560970279064,54
Graded-test temporal holdout,load_fraction,continuous,84,scaled_linear,0.04348069235364843,0.03985482781071597,-0.0036258645429324632,-0.005002917705654896,-0.0022248011574577745,55
Graded-test temporal holdout,load_fraction,continuous,84,affine_linear,0.043046328949451755,0.03985482781071597,-0.0031915011387357796,-0.004399083502480438,-0.0019775385574199895,52
ACTES external validation,vo2r,continuous,18,raw_linear,0.07169729589913643,0.05794281122968116,-0.013754484669455272,-0.019417395167560473,-0.007213176045506092,15
ACTES external validation,vo2r,continuous,18,scaled_linear,0.05887645670889289,0.05794281122968116,-0.0009336454792117458,-0.002076533674556319,0.0003022904161686948,12
ACTES external validation,vo2r,continuous,18,affine_linear,0.06168993702809351,0.05794281122968116,-0.00374712579841236,-0.006720689373224874,-0.0004385340931051252,13
ACTES external validation,power_fraction,continuous,18,raw_linear,0.10321211906191136,0.08073148398336424,-0.02248063507854712,-0.02644223377255178,-0.018038623090990132,17
ACTES external validation,power_fraction,continuous,18,scaled_linear,0.08615288188715312,0.08073148398336424,-0.005421397903788856,-0.006812380323517315,-0.003909389682850676,16
ACTES external validation,power_fraction,continuous,18,affine_linear,0.08451939607043292,0.08073148398336424,-0.003787912087068676,-0.00531957431776585,-0.0022046734417557317,16
Graded-test temporal holdout,vo2r,10-bin midpoint,84,raw_linear,0.06559643491266948,0.058171143599346324,-0.007425291313323144,-0.011342900513217064,-0.003414248248885952,58
Graded-test temporal holdout,vo2r,10-bin midpoint,84,scaled_linear,0.05908404471637676,0.058171143599346324,-0.000912901117030432,-0.0020916673033445866,0.0003278770230830711,50
Graded-test temporal holdout,vo2r,10-bin midpoint,84,affine_linear,0.05864065436799487,0.058171143599346324,-0.0004695107686485375,-0.0025341385424715456,0.001660582770174441,47
Graded-test temporal holdout,load_fraction,10-bin midpoint,84,raw_linear,0.05763975635442907,0.05172651171660357,-0.005913244637825503,-0.010010305744154454,-0.0016476234197088018,54
Graded-test temporal holdout,load_fraction,10-bin midpoint,84,scaled_linear,0.052902969726953616,0.05172651171660357,-0.0011764580103500418,-0.002782242663619789,0.0004981569237343286,50
Graded-test temporal holdout,load_fraction,10-bin midpoint,84,affine_linear,0.05272123659459222,0.05172651171660357,-0.0009947248779886518,-0.00243960079637498,0.000492058861419671,50
ACTES external validation,vo2r,10-bin midpoint,18,raw_linear,0.07324105256189964,0.060942098486775426,-0.012298954075124212,-0.017515346503991353,-0.006650768106423205,15
ACTES external validation,vo2r,10-bin midpoint,18,scaled_linear,0.06314147342922481,0.060942098486775426,-0.002199374942449375,-0.003647369712258412,-0.0006441270681283074,14
ACTES external validation,vo2r,10-bin midpoint,18,affine_linear,0.06563050930788183,0.060942098486775426,-0.0046884108211063796,-0.007745200523120206,-0.0013259553800040215,14
ACTES external validation,power_fraction,10-bin midpoint,18,raw_linear,0.10410771197467167,0.08476490370058994,-0.01934280827408173,-0.023772021395096047,-0.014565727763123322,17
ACTES external validation,power_fraction,10-bin midpoint,18,scaled_linear,0.0910584514004122,0.08476490370058994,-0.006293547699822245,-0.007892109335982677,-0.004541486955958738,16
ACTES external validation,power_fraction,10-bin midpoint,18,affine_linear,0.08989921880770178,0.08476490370058994,-0.005134315107111842,-0.006835735956922018,-0.003361770028596943,16
