dataset,target,n_complete_units,metric,direction,comparator,delta_cychrr_t_minus_comparator,delta_ci_low,delta_ci_high
Graded-test temporal holdout,vo2r,84,exact,higher_is_better,raw_hrr,0.08771430289287432,0.025600713770356633,0.1483260861162647
Graded-test temporal holdout,vo2r,84,within_one,higher_is_better,raw_hrr,0.02362055933484505,0.006164965986394559,0.0440541147014361
Graded-test temporal holdout,vo2r,84,bin_error,lower_is_better,raw_hrr,-0.11371581460867175,-0.1797852783790284,-0.04693071231017663
Graded-test temporal holdout,vo2r,84,exact,higher_is_better,scaled_linear,0.010893801965230534,-0.007162107898715042,0.029445389266817834
Graded-test temporal holdout,vo2r,84,within_one,higher_is_better,scaled_linear,0.0017006802721088441,0.0,0.005102040816326532
Graded-test temporal holdout,vo2r,84,bin_error,lower_is_better,scaled_linear,-0.01259448223733938,-0.03116992630385487,0.0053101379440665146
Graded-test temporal holdout,vo2r,84,exact,higher_is_better,affine_linear,-0.012920016491445056,-0.044509669398062245,0.018104933261183235
Graded-test temporal holdout,vo2r,84,within_one,higher_is_better,affine_linear,-0.008134920634920637,-0.016416761148904013,-0.0007322373393801965
Graded-test temporal holdout,vo2r,84,bin_error,lower_is_better,affine_linear,0.01986446093588951,-0.012146056654985232,0.05259895940699512
Graded-test temporal holdout,load_fraction,84,exact,higher_is_better,raw_hrr,-0.025051965230536648,-0.09842402554456127,0.050131877877413585
Graded-test temporal holdout,load_fraction,84,within_one,higher_is_better,raw_hrr,0.012377173091458804,0.0017006802721088435,0.025912344104308378
Graded-test temporal holdout,load_fraction,84,bin_error,lower_is_better,raw_hrr,0.012674792139077856,-0.06400218168075311,0.08715316429602145
Graded-test temporal holdout,load_fraction,84,exact,higher_is_better,scaled_linear,-0.001586872122586407,-0.0224066236343022,0.020097348914313203
Graded-test temporal holdout,load_fraction,84,within_one,higher_is_better,scaled_linear,0.0028108465608465603,0.0,0.0071097883597883585
Graded-test temporal holdout,load_fraction,84,bin_error,lower_is_better,scaled_linear,-0.0012239744382601511,-0.02392367553081839,0.020077271438878583
Graded-test temporal holdout,load_fraction,84,exact,higher_is_better,affine_linear,-0.0018419741634027333,-0.021055957105064242,0.017073552274445125
Graded-test temporal holdout,load_fraction,84,within_one,higher_is_better,affine_linear,0.001322751322751322,0.0,0.003968253968253966
Graded-test temporal holdout,load_fraction,84,bin_error,lower_is_better,affine_linear,0.000519222840651414,-0.019757395382395383,0.020209321102178247
ACTES external validation,vo2r,18,exact,higher_is_better,raw_hrr,0.07559537545205806,0.03982657820339185,0.11278002237847504
ACTES external validation,vo2r,18,within_one,higher_is_better,raw_hrr,0.040847792008447736,0.011532147830767517,0.06847180105343041
ACTES external validation,vo2r,18,bin_error,lower_is_better,raw_hrr,-0.11958532857368137,-0.17388509642469765,-0.06437163480574525
ACTES external validation,vo2r,18,exact,higher_is_better,scaled_linear,0.02001908177263785,0.008599699835827049,0.0311027627106214
ACTES external validation,vo2r,18,within_one,higher_is_better,scaled_linear,0.0014989067410021335,-0.004331191349612912,0.006725547627585663
ACTES external validation,vo2r,18,bin_error,lower_is_better,scaled_linear,-0.022001080301079598,-0.03487671178611228,-0.008700039775852247
ACTES external validation,vo2r,18,exact,higher_is_better,affine_linear,0.03053627153099476,0.002720086577945619,0.05817500739448283
ACTES external validation,vo2r,18,within_one,higher_is_better,affine_linear,0.006533765015168262,-0.010752454797951927,0.02246331573788205
ACTES external validation,vo2r,18,bin_error,lower_is_better,affine_linear,-0.03755312833360264,-0.07123893813882992,-0.0037723125015358227
ACTES external validation,power_fraction,18,exact,higher_is_better,raw_hrr,0.09593192801311957,0.06057672681447977,0.1305634160741818
ACTES external validation,power_fraction,18,within_one,higher_is_better,raw_hrr,0.05962248835307967,0.034309186334015834,0.08491999477023689
ACTES external validation,power_fraction,18,bin_error,lower_is_better,raw_hrr,-0.19195456577696085,-0.24241293019370366,-0.1368156911749421
ACTES external validation,power_fraction,18,exact,higher_is_better,scaled_linear,0.024283840861544722,0.007937873108186064,0.04193243488841546
ACTES external validation,power_fraction,18,within_one,higher_is_better,scaled_linear,0.011167278605569262,0.004598812006481334,0.018977284112037182
ACTES external validation,power_fraction,18,bin_error,lower_is_better,scaled_linear,-0.04415880437421285,-0.0650260557134884,-0.02365806313035296
ACTES external validation,power_fraction,18,exact,higher_is_better,affine_linear,0.020707626310099134,0.004761622538848357,0.03703465475630432
ACTES external validation,power_fraction,18,within_one,higher_is_better,affine_linear,0.007766914339804363,0.0008398149362556933,0.015698807952963956
ACTES external validation,power_fraction,18,bin_error,lower_is_better,affine_linear,-0.03632752470230149,-0.057953584637052365,-0.01447800725982212
