file,raw_hrr_exact,raw_hrr_within_one,raw_hrr_bin_error,scaled_linear_exact,scaled_linear_within_one,scaled_linear_bin_error,affine_linear_exact,affine_linear_within_one,affine_linear_bin_error,cychrr_t_exact,cychrr_t_within_one,cychrr_t_bin_error,dataset,target,ID
A1085.xlsx,0.125,0.875,1.0,0.375,1.0,0.625,0.5,1.0,0.5,0.5,1.0,0.5,Graded-test temporal holdout,vo2r,
A1086.xlsx,0.375,1.0,0.625,0.625,1.0,0.375,0.625,1.0,0.375,0.75,1.0,0.25,Graded-test temporal holdout,vo2r,
A1088.xlsx,0.5714285714285714,1.0,0.42857142857142855,0.8571428571428571,1.0,0.14285714285714285,0.7142857142857143,1.0,0.2857142857142857,0.8571428571428571,1.0,0.14285714285714285,Graded-test temporal holdout,vo2r,
A1096.xlsx,0.25,1.0,0.75,0.75,1.0,0.25,0.75,1.0,0.25,0.75,1.0,0.25,Graded-test temporal holdout,vo2r,
A1106.xlsx,0.42857142857142855,1.0,0.5714285714285714,0.7142857142857143,1.0,0.2857142857142857,0.7142857142857143,1.0,0.2857142857142857,0.8571428571428571,1.0,0.14285714285714285,Graded-test temporal holdout,vo2r,
A1108.xlsx,0.5714285714285714,1.0,0.42857142857142855,0.7142857142857143,1.0,0.2857142857142857,1.0,1.0,0.0,0.7142857142857143,1.0,0.2857142857142857,Graded-test temporal holdout,vo2r,
A1116.xlsx,0.875,0.875,0.25,0.5,0.875,0.625,0.625,1.0,0.375,0.25,0.875,0.875,Graded-test temporal holdout,vo2r,
A1117.xlsx,0.125,1.0,0.875,0.625,1.0,0.375,0.625,1.0,0.375,0.625,1.0,0.375,Graded-test temporal holdout,vo2r,
A1120.xlsx,0.14285714285714285,1.0,0.8571428571428571,0.2857142857142857,1.0,0.7142857142857143,0.2857142857142857,1.0,0.7142857142857143,0.2857142857142857,1.0,0.7142857142857143,Graded-test temporal holdout,vo2r,
A202.xlsx,0.25,1.0,0.75,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,Graded-test temporal holdout,vo2r,
A203.xlsx,0.25,1.0,0.75,0.5,1.0,0.5,0.625,1.0,0.375,0.75,1.0,0.25,Graded-test temporal holdout,vo2r,
A204.xlsx,0.625,1.0,0.375,0.5,1.0,0.5,0.625,1.0,0.375,0.75,1.0,0.25,Graded-test temporal holdout,vo2r,
A205.xlsx,0.7142857142857143,1.0,0.2857142857142857,0.8571428571428571,1.0,0.14285714285714285,1.0,1.0,0.0,0.8571428571428571,1.0,0.14285714285714285,Graded-test temporal holdout,vo2r,
A207.xlsx,0.2857142857142857,1.0,0.7142857142857143,0.8571428571428571,1.0,0.14285714285714285,0.8571428571428571,1.0,0.14285714285714285,0.8571428571428571,1.0,0.14285714285714285,Graded-test temporal holdout,vo2r,
A208.xlsx,0.6,1.0,0.4,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Graded-test temporal holdout,vo2r,
A220.xlsx,0.4444444444444444,1.0,0.5555555555555556,0.8888888888888888,1.0,0.1111111111111111,0.7777777777777778,1.0,0.2222222222222222,0.7777777777777778,1.0,0.2222222222222222,Graded-test temporal holdout,vo2r,
A221.xlsx,0.625,1.0,0.375,0.875,1.0,0.125,0.875,1.0,0.125,0.875,1.0,0.125,Graded-test temporal holdout,vo2r,
A226.xlsx,0.14285714285714285,1.0,0.8571428571428571,0.42857142857142855,1.0,0.5714285714285714,0.2857142857142857,1.0,0.7142857142857143,0.42857142857142855,1.0,0.5714285714285714,Graded-test temporal holdout,vo2r,
A232.xlsx,0.6666666666666666,1.0,0.3333333333333333,0.16666666666666666,1.0,0.8333333333333334,0.16666666666666666,1.0,0.8333333333333334,0.16666666666666666,1.0,0.8333333333333334,Graded-test temporal holdout,vo2r,
