dataset,target,n_complete_units,n_observations,model,exact_10pct_bin_agreement,within_one_10pct_bin_agreement,mean_absolute_bin_error
Graded-test temporal holdout,vo2r,84,682,raw_hrr,0.5092695664124235,0.939030612244898,0.6076522022950593
Graded-test temporal holdout,vo2r,84,682,scaled_linear,0.5860900673400673,0.9609504913076341,0.5065308699237271
Graded-test temporal holdout,vo2r,84,682,affine_linear,0.6099038857967429,0.9707860922146638,0.4740719267504983
Graded-test temporal holdout,vo2r,84,682,cychrr_t,0.5969838693052979,0.9626511715797431,0.4939363876863877
Graded-test temporal holdout,load_fraction,84,682,raw_hrr,0.6292620078334364,0.9771164021164022,0.39362159005016145
Graded-test temporal holdout,load_fraction,84,682,scaled_linear,0.6057969147254862,0.9866827286470145,0.40752035662749947
Graded-test temporal holdout,load_fraction,84,682,affine_linear,0.6060520167663026,0.9881708238851097,0.4057771593485879
Graded-test temporal holdout,load_fraction,84,682,cychrr_t,0.6042100426028998,0.9894935752078609,0.4062963821892393
ACTES external validation,vo2r,18,1541,raw_hrr,0.43562703828891514,0.8845497124299686,0.6905144714778425
ACTES external validation,vo2r,18,1541,scaled_linear,0.4912033319683354,0.9238985976974141,0.5929302232052407
ACTES external validation,vo2r,18,1541,affine_linear,0.4806861422099784,0.918863739423248,0.6084822712377639
ACTES external validation,vo2r,18,1541,cychrr_t,0.5112224137409732,0.9253975044384164,0.5709291429041613
ACTES external validation,power_fraction,18,1541,raw_hrr,0.3262102109723042,0.7340285572985557,0.9992515451871421
ACTES external validation,power_fraction,18,1541,scaled_linear,0.3978582981238791,0.782483767046066,0.8514557837843939
ACTES external validation,power_fraction,18,1541,affine_linear,0.40143451267532465,0.785884131311831,0.8436245041124827
ACTES external validation,power_fraction,18,1541,cychrr_t,0.42214213898542374,0.7936510456516352,0.8072969794101811
