held_out_participant,family,selected_parameter,training_participants,training_sessions,test_sessions
p01,original_exp,1.01,14,240,15
p01,entropic_hrr,10.1,14,240,15
p01,tilted_hrr,9.3,14,240,15
p01,power_hrr,9.1,14,240,15
p02,original_exp,1.01,14,242,13
p02,entropic_hrr,10.1,14,242,13
p02,tilted_hrr,9.3,14,242,13
p02,power_hrr,9.1,14,242,13
p03,original_exp,0.56,14,254,1
p03,entropic_hrr,5.6,14,254,1
p03,tilted_hrr,6.2,14,254,1
p03,power_hrr,5.1,14,254,1
p04,original_exp,1.5,14,226,29
p04,entropic_hrr,15.0,14,226,29
p04,tilted_hrr,8.9,14,226,29
p04,power_hrr,12.0,14,226,29
p05,original_exp,0.56,14,252,3
p05,entropic_hrr,5.6,14,252,3
p05,tilted_hrr,6.2,14,252,3
p05,power_hrr,5.1,14,252,3
p06,original_exp,1.5,14,227,28
p06,entropic_hrr,15.0,14,227,28
p06,tilted_hrr,9.4,14,227,28
p06,power_hrr,12.0,14,227,28
p07,original_exp,1.5,14,206,49
p07,entropic_hrr,15.0,14,206,49
p07,tilted_hrr,8.9,14,206,49
p07,power_hrr,12.0,14,206,49
p08,original_exp,1.01,14,199,56
p08,entropic_hrr,10.1,14,199,56
p08,tilted_hrr,9.3,14,199,56
p08,power_hrr,9.1,14,199,56
p09,original_exp,0.56,14,253,2
p09,entropic_hrr,5.6,14,253,2
p09,tilted_hrr,6.2,14,253,2
p09,power_hrr,5.1,14,253,2
p10,original_exp,0.56,14,254,1
p10,entropic_hrr,5.6,14,254,1
p10,tilted_hrr,6.2,14,254,1
p10,power_hrr,5.1,14,254,1
p11,original_exp,1.46,14,245,10
p11,entropic_hrr,14.6,14,245,10
p11,tilted_hrr,8.9,14,245,10
p11,power_hrr,12.0,14,245,10
p12,original_exp,0.56,14,253,2
p12,entropic_hrr,5.6,14,253,2
p12,tilted_hrr,6.2,14,253,2
p12,power_hrr,5.1,14,253,2
p13,original_exp,0.56,14,253,2
p13,entropic_hrr,5.6,14,253,2
p13,tilted_hrr,6.2,14,253,2
p13,power_hrr,5.1,14,253,2
p14,original_exp,1.5,14,243,12
p14,entropic_hrr,15.0,14,243,12
p14,tilted_hrr,8.9,14,243,12
p14,power_hrr,12.0,14,243,12
p15,original_exp,1.01,14,223,32
p15,entropic_hrr,10.1,14,223,32
p15,tilted_hrr,9.3,14,223,32
p15,power_hrr,9.1,14,223,32
