family,parameter,participants,median_participant_rho
original_exp,0.01,9,0.4116696119304651
original_exp,0.02,9,0.4033986242935059
original_exp,0.03,9,0.38572878706909325
original_exp,0.04,9,0.38234520121761
original_exp,0.05,9,0.3729463516301565
original_exp,0.06,9,0.35941200822422337
original_exp,0.07,9,0.35602842237274007
original_exp,0.08,9,0.34888529668627544
original_exp,0.09,9,0.33948644709882186
original_exp,0.1,9,0.3417203882989618
original_exp,0.11,9,0.3417203882989618
original_exp,0.12,9,0.3417203882989618
original_exp,0.13,9,0.3417203882989618
original_exp,0.14,9,0.3417203882989618
original_exp,0.15,9,0.3417203882989618
original_exp,0.16,9,0.3417203882989618
original_exp,0.17,9,0.3417203882989618
original_exp,0.18,9,0.3417203882989618
original_exp,0.19,9,0.3417203882989618
original_exp,0.2,9,0.3417203882989618
original_exp,0.21,9,0.3417203882989618
original_exp,0.22,9,0.40385136798968213
original_exp,0.23,9,0.40385136798968213
original_exp,0.24,9,0.40385136798968213
original_exp,0.25,9,0.40385136798968213
original_exp,0.26,9,0.40385136798968213
original_exp,0.27,9,0.40385136798968213
original_exp,0.28,9,0.40385136798968213
original_exp,0.29,9,0.40385136798968213
original_exp,0.3,9,0.40385136798968213
original_exp,0.31,9,0.40385136798968213
original_exp,0.32,9,0.42870375986597026
original_exp,0.33,9,0.42870375986597026
original_exp,0.34,9,0.42870375986597026
original_exp,0.35,9,0.5156871314329786
original_exp,0.36,9,0.5156871314329786
original_exp,0.37,9,0.5156871314329786
original_exp,0.38,9,0.5156871314329786
original_exp,0.39,9,0.5156871314329786
original_exp,0.4,9,0.5156871314329786
original_exp,0.41,9,0.5405395233092668
original_exp,0.42,9,0.5405395233092668
original_exp,0.43,9,0.5405395233092668
original_exp,0.44,9,0.6026705029999871
original_exp,0.45,9,0.6026705029999871
original_exp,0.46,9,0.6026705029999871
original_exp,0.47,9,0.6026705029999871
original_exp,0.48,9,0.6026705029999871
original_exp,0.49,9,0.6026705029999871
original_exp,0.5,9,0.6026705029999871
original_exp,0.51,9,0.6026705029999871
original_exp,0.52,9,0.6026705029999871
original_exp,0.53,9,0.6026705029999871
original_exp,0.54,9,0.6026705029999871
original_exp,0.55,9,0.6026705029999871
original_exp,0.56,9,0.6523752867525634
original_exp,0.57,9,0.6523752867525634
original_exp,0.58,9,0.6523752867525634
original_exp,0.59,9,0.6523752867525634
original_exp,0.6,9,0.6523752867525634
original_exp,0.61,9,0.6523752867525634
original_exp,0.62,9,0.6523752867525634
original_exp,0.63,9,0.6523752867525634
original_exp,0.64,9,0.6523752867525634
original_exp,0.65,9,0.6523752867525634
original_exp,0.66,9,0.6523752867525634
original_exp,0.67,9,0.6523752867525634
original_exp,0.68,9,0.6523752867525634
original_exp,0.69,9,0.6523752867525634
original_exp,0.7,9,0.6523752867525634
original_exp,0.71,9,0.6523752867525634
original_exp,0.72,9,0.6523752867525634
original_exp,0.73,9,0.6523752867525634
original_exp,0.74,9,0.6523752867525634
original_exp,0.75,9,0.6523752867525634
original_exp,0.76,9,0.6523752867525634
original_exp,0.77,9,0.6523752867525634
original_exp,0.78,9,0.6523752867525634
original_exp,0.79,9,0.6523752867525634
original_exp,0.8,9,0.6523752867525634
original_exp,0.81,9,0.6523752867525634
original_exp,0.82,9,0.6523752867525634
original_exp,0.83,9,0.6523752867525634
original_exp,0.84,9,0.6523752867525634
original_exp,0.85,9,0.6523752867525634
original_exp,0.86,9,0.6523752867525634
original_exp,0.87,9,0.6523752867525634
original_exp,0.88,9,0.6523752867525634
original_exp,0.89,9,0.6523752867525634
original_exp,0.9,9,0.6523752867525634
original_exp,0.91,9,0.6523752867525634
original_exp,0.92,9,0.6523752867525634
original_exp,0.93,9,0.6523752867525634
original_exp,0.94,9,0.6523752867525634
original_exp,0.95,9,0.6523752867525634
original_exp,0.96,9,0.6523752867525634
original_exp,0.97,9,0.6523752867525634
original_exp,0.98,9,0.6523752867525634
original_exp,0.99,9,0.6523752867525634
original_exp,1.0,9,0.6523752867525634
original_exp,1.01,9,0.6523752867525634
original_exp,1.02,9,0.6523752867525634
original_exp,1.03,9,0.6523752867525634
original_exp,1.04,9,0.6523752867525634
original_exp,1.05,9,0.6523752867525634
original_exp,1.06,9,0.6523752867525634
original_exp,1.07,9,0.6523752867525634
original_exp,1.08,9,0.6523752867525634
original_exp,1.09,9,0.6523752867525634
original_exp,1.1,9,0.6523752867525634
original_exp,1.11,9,0.6523752867525634
original_exp,1.12,9,0.6523752867525634
original_exp,1.13,9,0.6523752867525634
original_exp,1.14,9,0.6523752867525634
original_exp,1.15,9,0.6523752867525634
original_exp,1.16,9,0.6523752867525634
original_exp,1.17,9,0.6523752867525634
original_exp,1.18,9,0.6523752867525634
original_exp,1.19,9,0.6523752867525634
original_exp,1.2,9,0.6523752867525634
original_exp,1.21,9,0.6523752867525634
original_exp,1.22,9,0.6523752867525634
original_exp,1.23,9,0.6523752867525634
original_exp,1.24,9,0.6523752867525634
original_exp,1.25,9,0.6523752867525634
original_exp,1.26,9,0.6523752867525634
original_exp,1.27,9,0.6523752867525634
original_exp,1.28,9,0.6523752867525634
original_exp,1.29,9,0.6523752867525634
original_exp,1.3,9,0.6523752867525634
original_exp,1.31,9,0.6523752867525634
original_exp,1.32,9,0.6523752867525634
original_exp,1.33,9,0.6523752867525634
original_exp,1.34,9,0.6523752867525634
original_exp,1.35,9,0.6523752867525634
original_exp,1.36,9,0.6523752867525634
original_exp,1.37,9,0.6523752867525634
original_exp,1.38,9,0.6523752867525634
original_exp,1.39,9,0.6523752867525634
original_exp,1.4,9,0.6523752867525634
original_exp,1.41,9,0.6523752867525634
original_exp,1.42,9,0.6523752867525634
original_exp,1.43,9,0.6523752867525634
original_exp,1.44,9,0.6523752867525634
original_exp,1.45,9,0.6523752867525634
original_exp,1.46,9,0.6523752867525634
original_exp,1.47,9,0.6523752867525634
original_exp,1.48,9,0.6523752867525634
original_exp,1.49,9,0.6523752867525634
original_exp,1.5,9,0.6523752867525634
entropic_hrr,0.0,9,0.422008346476664
entropic_hrr,0.1,9,0.4116696119304651
entropic_hrr,0.2,9,0.4033986242935059
entropic_hrr,0.3,9,0.38572878706909325
entropic_hrr,0.4,9,0.38234520121761
entropic_hrr,0.5,9,0.3729463516301565
entropic_hrr,0.6,9,0.35941200822422337
entropic_hrr,0.7,9,0.35602842237274007
entropic_hrr,0.8,9,0.34888529668627544
entropic_hrr,0.9,9,0.33948644709882186
entropic_hrr,1.0,9,0.3417203882989618
entropic_hrr,1.1,9,0.3417203882989618
