sessions,participants,full_data_lambda,outer_lambda_median,outer_lambda_q1,outer_lambda_q3,participant_balanced_mae_tilted,participant_balanced_mae_linear,mae_difference_tilted_minus_linear,conditional_ci_low,conditional_ci_high,participants_with_rho,median_within_participant_rho_tilted,median_within_participant_rho_linear,variant
255,15,6.2,8.9,6.2,9.3,1.2055438134681116,1.3020464195357113,-0.09650260606759996,-0.1628101254886511,-0.028701807956802113,9,0.6660845595943223,0.422008346476664,baseline_rebuilt
255,15,6.2,9.3,6.2,9.95,1.203278737921187,1.302021643304362,-0.0987429053831753,-0.16876240824897887,-0.03069785177071192,9,0.668582376692801,0.422008346476664,upper_0.5pct_bpm_winsorized
255,15,6.2,8.1,6.2,9.95,1.2083297112934255,1.3019937057378117,-0.09366399444438667,-0.15831993249431714,-0.02838212571159003,9,0.668582376692801,0.41768487566643536,upper_1pct_bpm_winsorized
255,15,6.2,8.9,6.2,9.3,1.2055438134681116,1.3020464195357113,-0.09650260606759996,-0.16126578454599383,-0.030095097966947825,9,0.6660845595943223,0.422008346476664,hrr_capped_at_0.95
255,15,6.2,8.9,6.2,9.3,1.2055390810666182,1.3020618417369565,-0.09652276067033827,-0.16465529992365577,-0.03290031741312367,9,0.6660845595943223,0.422008346476664,gap_cap_15_seconds
0,0,,,,,,,,,,0,,,confidence_3_only
255,15,6.9,7.9,6.9,9.0,1.2264348592876657,1.309859280816649,-0.08342442152898316,-0.14608646747782125,-0.019483319679797034,9,0.642771600008521,0.4120455659139632,hrmax_plus_5_bpm
255,15,6.8,7.4,6.8,8.3,1.208329878231355,1.3063562393793628,-0.0980263611480082,-0.15498787095669828,-0.040496725298557315,9,0.6191811051895554,0.4466333323957922,hrmax_minus_5_bpm
255,15,5.8,8.5,5.8,8.7,1.2055153694836842,1.3012118177542233,-0.09569644827053923,-0.1621202595155443,-0.029150155571090346,9,0.6980011114082169,0.42539193232814726,hrrest_plus_3_bpm
255,15,6.2,7.2,6.2,8.7,1.21473456763475,1.3005393661389604,-0.08580479850421029,-0.15157372868326047,-0.02307650023399754,9,0.6597012492315434,0.42088048452616955,hrrest_minus_3_bpm
255,15,4.6,4.6,4.6,9.1,1.3744365841378545,1.4063980533215812,-0.03196146918372727,-0.08360797923913997,0.02581859947101045,9,0.6438817409411781,0.422008346476664,tanaka_hrmax_for_all
