family,parameter,candidate_order,inner_participant_balanced_mae
delta_tilt,0.0,0,1.3020464195357122
delta_tilt,0.1,1,1.2928988695812043
delta_tilt,0.2,2,1.2920166432476399
delta_tilt,0.3,3,1.291096420918186
delta_tilt,0.4,4,1.2901396719964981
delta_tilt,0.5,5,1.2891478266785932
delta_tilt,0.6,6,1.2881222757624207
delta_tilt,0.7,7,1.2870643709911609
delta_tilt,0.8,8,1.2859754259097682
delta_tilt,0.9,9,1.2848567172074017
delta_tilt,1.0,10,1.283709486511714
delta_tilt,1.1,11,1.2825474308698135
delta_tilt,1.2,12,1.2813716824229107
delta_tilt,1.3,13,1.280169780574401
delta_tilt,1.4,14,1.2789456609671315
delta_tilt,1.5,15,1.2777501061265284
delta_tilt,1.6,16,1.2766276748923429
delta_tilt,1.7,17,1.2755181960549151
delta_tilt,1.8,18,1.2744400445526087
delta_tilt,1.9,19,1.2733395965153778
delta_tilt,2.0,20,1.2722178018047405
delta_tilt,2.1,21,1.2710756097479476
delta_tilt,2.2,22,1.269917081010296
delta_tilt,2.3,23,1.2687853972836878
delta_tilt,2.4,24,1.2676382854734158
delta_tilt,2.5,25,1.2665134430418399
delta_tilt,2.6,26,1.2653726594248205
delta_tilt,2.7,27,1.264216869267996
delta_tilt,2.8,28,1.2630470240233254
delta_tilt,2.9,29,1.2618640932370162
delta_tilt,3.0,30,1.2606690654423456
delta_tilt,3.1,31,1.259462948644601
delta_tilt,3.2,32,1.2582467703903457
delta_tilt,3.3,33,1.2570331323062882
delta_tilt,3.4,34,1.2558181803985278
delta_tilt,3.5,35,1.2545961033128201
delta_tilt,3.6,36,1.2533794483984297
delta_tilt,3.7,37,1.252172521141457
delta_tilt,3.8,38,1.2510088567863593
delta_tilt,3.9,39,1.2498477895799402
delta_tilt,4.0,40,1.2486864360965138
delta_tilt,4.1,41,1.2475258239653373
delta_tilt,4.2,42,1.2463669830284727
delta_tilt,4.3,43,1.245210941887749
delta_tilt,4.4,44,1.2440587243325656
delta_tilt,4.5,45,1.2429113456963705
delta_tilt,4.6,46,1.241769809190489
delta_tilt,4.7,47,1.24063676934805
delta_tilt,4.8,48,1.2395249624136138
delta_tilt,4.9,49,1.2384300594013196
delta_tilt,5.0,50,1.2373749102066758
delta_tilt,5.1,51,1.2364255515900437
delta_tilt,5.2,52,1.2356177531593666
delta_tilt,5.3,53,1.234829136606008
delta_tilt,5.4,54,1.234048469488878
delta_tilt,5.5,55,1.2332762407786428
delta_tilt,5.6,56,1.2325194797980605
delta_tilt,5.7,57,1.2317808876541507
delta_tilt,5.8,58,1.2310562392515945
delta_tilt,5.9,59,1.2303412168811712
delta_tilt,6.0,60,1.2296362023281007
delta_tilt,6.1,61,1.228941553604314
delta_tilt,6.2,62,1.2282576049993592
delta_tilt,6.3,63,1.2275993724007468
delta_tilt,6.4,64,1.2269639929926623
delta_tilt,6.5,65,1.2263494929567753
delta_tilt,6.6,66,1.2257491920903432
delta_tilt,6.7,67,1.2251602780676563
delta_tilt,6.8,68,1.2245829611656873
delta_tilt,6.9,69,1.2240174315924341
delta_tilt,7.0,70,1.2234638602552113
delta_tilt,7.1,71,1.222922399567294
delta_tilt,7.2,72,1.2223931842790283
delta_tilt,7.3,73,1.2218777937787273
delta_tilt,7.4,74,1.2213777175217535
delta_tilt,7.5,75,1.220890383218031
delta_tilt,7.6,76,1.220415854262654
delta_tilt,7.7,77,1.219956641573251
delta_tilt,7.8,78,1.2195263560332177
delta_tilt,7.9,79,1.2191086065389554
delta_tilt,8.0,80,1.218703415492345
delta_tilt,8.1,81,1.2183107943570175
delta_tilt,8.2,82,1.2179307442553648
delta_tilt,8.3,83,1.2175632565234484
delta_tilt,8.4,84,1.2172083132238738
delta_tilt,8.5,85,1.2168658876173974
delta_tilt,8.6,86,1.2165359445946498
delta_tilt,8.7,87,1.2162184410698436
delta_tilt,8.8,88,1.2159133263387092
delta_tilt,8.9,89,1.2156205424032336
delta_tilt,9.0,90,1.215340024265946
delta_tilt,9.1,91,1.2150717001966551
delta_tilt,9.2,92,1.2148170019631972
delta_tilt,9.3,93,1.2145754887140063
delta_tilt,9.4,94,1.2143457828820157
delta_tilt,9.5,95,1.2141277886650244
delta_tilt,9.6,96,1.2139214045653148
delta_tilt,9.7,97,1.213726523561409
delta_tilt,9.8,98,1.2135430332707178
delta_tilt,9.9,99,1.2133708161052743
delta_tilt,10.0,100,1.213209749422585
delta_tilt,10.1,101,1.213059705673415
delta_tilt,10.2,102,1.2129205525481268
delta_tilt,10.3,103,1.2127921531230077
delta_tilt,10.4,104,1.2126743660078128
delta_tilt,10.5,105,1.2125670454955761
delta_tilt,10.6,106,1.2124700417155603
delta_tilt,10.7,107,1.2123832007900146
delta_tilt,10.8,108,1.2123063649953212
delta_tilt,10.9,109,1.2122393729278584
delta_tilt,11.0,110,1.212182059674882
delta_tilt,11.1,111,1.2121342569904954
delta_tilt,11.2,112,1.2120957934767351
delta_tilt,11.3,113,1.2120664947696644
delta_tilt,11.4,114,1.2120461837302812
delta_tilt,11.5,115,1.212034680639947
delta_tilt,11.6,116,1.2120318034000108
delta_tilt,11.7,117,1.2120373677352023
delta_tilt,11.8,118,1.2120511874003137
delta_tilt,11.9,119,1.2120730743897206
delta_tilt,12.0,120,1.212102839149128
delta_tilt,12.1,121,1.212140290789032
delta_tilt,12.2,122,1.2121852372992874
delta_tilt,12.3,123,1.212237485764181
delta_tilt,12.4,124,1.2122968425774185
delta_tilt,12.5,125,1.2123631136564268
delta_tilt,12.6,126,1.2124361046553451
delta_tilt,12.7,127,1.2125156211761579
delta_tilt,12.8,128,1.212601468977357
delta_tilt,12.9,129,1.2127118835158042
delta_tilt,13.0,130,1.2128927279989066
delta_tilt,13.1,131,1.213078266353254
delta_tilt,13.2,132,1.2132683015599042
delta_tilt,13.3,133,1.2134626378334077
delta_tilt,13.4,134,1.2136610808289894
delta_tilt,13.5,135,1.2138634378425683
delta_tilt,13.6,136,1.2140695180032177
delta_tilt,13.7,137,1.2142791324577198
delta_tilt,13.8,138,1.2144920945468936
delta_tilt,13.9,139,1.2147082199734505
delta_tilt,14.0,140,1.2149273269611292
delta_tilt,14.1,141,1.21515100572464
delta_tilt,14.2,142,1.2153776654988007
delta_tilt,14.3,143,1.2156080786119605
delta_tilt,14.4,144,1.2158447565125425
delta_tilt,14.5,145,1.2160836243626527
delta_tilt,14.6,146,1.2163401229414286
delta_tilt,14.7,147,1.216620970674963
delta_tilt,14.8,148,1.2169070821406804
delta_tilt,14.9,149,1.2172185935415312
delta_tilt,15.0,150,1.2175300319408018
base_mean,,151,1.3020464195357122
variance,,152,1.2937751659446943
upper_70,,153,1.3021241923004252
upper_80,,154,1.2789399577902902
upper_90,,155,1.5239313611218395
upper_tail_area_70,,156,1.3649798951487624
