family,parameter,candidate_order,inner_participant_balanced_mae,held_out_participant,selection_scope
delta_tilt,0.0,0,1.3588819054244272,p01,lambda_only
delta_tilt,0.1,1,1.3560870197998942,p01,lambda_only
delta_tilt,0.2,2,1.3549826019824014,p01,lambda_only
delta_tilt,0.3,3,1.3538400904968027,p01,lambda_only
delta_tilt,0.4,4,1.3526615165398483,p01,lambda_only
delta_tilt,0.5,5,1.3514488135013125,p01,lambda_only
delta_tilt,0.6,6,1.350203818169741,p01,lambda_only
delta_tilt,0.7,7,1.3489282731227903,p01,lambda_only
delta_tilt,0.8,8,1.3476238301676593,p01,lambda_only
delta_tilt,0.9,9,1.3462920546939945,p01,lambda_only
delta_tilt,1.0,10,1.3449344308007496,p01,lambda_only
delta_tilt,1.1,11,1.3435748512187486,p01,lambda_only
delta_tilt,1.2,12,1.3423004616830139,p01,lambda_only
delta_tilt,1.3,13,1.3410023960097988,p01,lambda_only
delta_tilt,1.4,14,1.3396970907677896,p01,lambda_only
delta_tilt,1.5,15,1.33837240228917,p01,lambda_only
delta_tilt,1.6,16,1.3370722245390603,p01,lambda_only
delta_tilt,1.7,17,1.3358385072103207,p01,lambda_only
delta_tilt,1.8,18,1.334583982662703,p01,lambda_only
delta_tilt,1.9,19,1.3333096436994383,p01,lambda_only
delta_tilt,2.0,20,1.332016464839377,p01,lambda_only
delta_tilt,2.1,21,1.330705408173046,p01,lambda_only
delta_tilt,2.2,22,1.3293774288688085,p01,lambda_only
delta_tilt,2.3,23,1.328033480275772,p01,lambda_only
delta_tilt,2.4,24,1.3266745185780109,p01,lambda_only
delta_tilt,2.5,25,1.3253050867289695,p01,lambda_only
delta_tilt,2.6,26,1.3240031885422041,p01,lambda_only
delta_tilt,2.7,27,1.3227037030931614,p01,lambda_only
delta_tilt,2.8,28,1.3214037571330592,p01,lambda_only
delta_tilt,2.9,29,1.3201018295768179,p01,lambda_only
delta_tilt,3.0,30,1.3187897615200972,p01,lambda_only
delta_tilt,3.1,31,1.317468543746515,p01,lambda_only
delta_tilt,3.2,32,1.3161391882492028,p01,lambda_only
delta_tilt,3.3,33,1.3148027283105725,p01,lambda_only
delta_tilt,3.4,34,1.3134602180508541,p01,lambda_only
delta_tilt,3.5,35,1.3121127314630332,p01,lambda_only
delta_tilt,3.6,36,1.3107613609570279,p01,lambda_only
delta_tilt,3.7,37,1.3094072154410206,p01,lambda_only
delta_tilt,3.8,38,1.3080824827132072,p01,lambda_only
delta_tilt,3.9,39,1.3067873611876113,p01,lambda_only
delta_tilt,4.0,40,1.3055105647647558,p01,lambda_only
delta_tilt,4.1,41,1.3042487659492166,p01,lambda_only
delta_tilt,4.2,42,1.3029980862496315,p01,lambda_only
delta_tilt,4.3,43,1.3017710457075675,p01,lambda_only
delta_tilt,4.4,44,1.3005742874335124,p01,lambda_only
delta_tilt,4.5,45,1.2993875779532165,p01,lambda_only
delta_tilt,4.6,46,1.29820876565322,p01,lambda_only
delta_tilt,4.7,47,1.2970388041085488,p01,lambda_only
delta_tilt,4.8,48,1.2958786290059632,p01,lambda_only
delta_tilt,4.9,49,1.2947291545268473,p01,lambda_only
delta_tilt,5.0,50,1.293591269901691,p01,lambda_only
delta_tilt,5.1,51,1.2925706625291142,p01,lambda_only
delta_tilt,5.2,52,1.2917224914754395,p01,lambda_only
delta_tilt,5.3,53,1.290883621401232,p01,lambda_only
delta_tilt,5.4,54,1.2900545418093008,p01,lambda_only
delta_tilt,5.5,55,1.2892357208286522,p01,lambda_only
delta_tilt,5.6,56,1.28842760423121,p01,lambda_only
delta_tilt,5.7,57,1.2876314457565188,p01,lambda_only
delta_tilt,5.8,58,1.286876995583069,p01,lambda_only
delta_tilt,5.9,59,1.2861338422661734,p01,lambda_only
delta_tilt,6.0,60,1.2854023486536743,p01,lambda_only
delta_tilt,6.1,61,1.2846828537939263,p01,lambda_only
delta_tilt,6.2,62,1.2839756729708198,p01,lambda_only
delta_tilt,6.3,63,1.283281097898785,p01,lambda_only
delta_tilt,6.4,64,1.282599397063097,p01,lambda_only
delta_tilt,6.5,65,1.2819308161893763,p01,lambda_only
delta_tilt,6.6,66,1.2812755788252468,p01,lambda_only
delta_tilt,6.7,67,1.2806338870166163,p01,lambda_only
delta_tilt,6.8,68,1.2800059220610067,p01,lambda_only
delta_tilt,6.9,69,1.2793918453206812,p01,lambda_only
delta_tilt,7.0,70,1.2788110077774049,p01,lambda_only
delta_tilt,7.1,71,1.2782519767887184,p01,lambda_only
delta_tilt,7.2,72,1.2777143315984796,p01,lambda_only
delta_tilt,7.3,73,1.277190392915656,p01,lambda_only
delta_tilt,7.4,74,1.2766838939487406,p01,lambda_only
delta_tilt,7.5,75,1.2761929439396762,p01,lambda_only
delta_tilt,7.6,76,1.275715745303021,p01,lambda_only
delta_tilt,7.7,77,1.2752523421375896,p01,lambda_only
delta_tilt,7.8,78,1.2748027654398606,p01,lambda_only
delta_tilt,7.9,79,1.2743670338442405,p01,lambda_only
delta_tilt,8.0,80,1.2739451543222333,p01,lambda_only
delta_tilt,8.1,81,1.2735371228378451,p01,lambda_only
delta_tilt,8.2,82,1.2731429249576431,p01,lambda_only
delta_tilt,8.3,83,1.2727625364149868,p01,lambda_only
delta_tilt,8.4,84,1.272395923628663,p01,lambda_only
delta_tilt,8.5,85,1.2720430441770874,p01,lambda_only
delta_tilt,8.6,86,1.2717038472297089,p01,lambda_only
delta_tilt,8.7,87,1.271378273937868,p01,lambda_only
delta_tilt,8.8,88,1.271066257787702,p01,lambda_only
delta_tilt,8.9,89,1.2707677249179905,p01,lambda_only
delta_tilt,9.0,90,1.2704825944060774,p01,lambda_only
delta_tilt,9.1,91,1.2702107785250796,p01,lambda_only
delta_tilt,9.2,92,1.2699521829756557,p01,lambda_only
delta_tilt,9.3,93,1.2697067070956216,p01,lambda_only
delta_tilt,9.4,94,1.269474244050592,p01,lambda_only
delta_tilt,9.5,95,1.2692546810087408,p01,lambda_only
delta_tilt,9.6,96,1.2690478993026133,p01,lambda_only
delta_tilt,9.7,97,1.2688537745807769,p01,lambda_only
delta_tilt,9.8,98,1.2686721769518612,p01,lambda_only
delta_tilt,9.9,99,1.26850297112337,p01,lambda_only
delta_tilt,10.0,100,1.2683460165373883,p01,lambda_only
delta_tilt,10.1,101,1.268201167505135,p01,lambda_only
delta_tilt,10.2,102,1.2680682733420383,p01,lambda_only
delta_tilt,10.3,103,1.2679471785048269,p01,lambda_only
