model,participants,participant_balanced_mae,mae_difference_vs_base,relative_mae_change_percent,bootstrap_ci_low,bootstrap_ci_high,exact_two_sided_sign_flip_p,participants_favoring_model,participants_favoring_base,leave_one_participant_out_difference_min,leave_one_participant_out_difference_max
base_mean,15,1.3020464195357122,0.0,0.0,0.0,0.0,,0,0,0.0,0.0
variance,15,1.2937751659446943,-0.008271253591017621,-0.6352502850065062,-0.0640127908795715,0.05372513314046594,0.798095703125,9,6,-0.02867709835210867,0.00488033152080007
upper_70,15,1.3021241923004252,7.777276471313914e-05,0.005973117666639841,-0.027317459190849002,0.04574779525555074,1.0,13,2,-0.021029485964987056,0.004471801823734427
upper_80,15,1.2789399577902902,-0.023106461745421726,-1.7746265723507078,-0.13557657143293464,0.10695448726255276,0.7205810546875,9,6,-0.05758196383070456,-0.00044134386031396966
upper_90,15,1.5239313611218395,0.22188494158612723,17.041246629689873,-0.0450707109273556,0.6985263042020592,0.52130126953125,7,8,-0.0015768339522194777,0.2509554255201723
upper_tail_area_70,15,1.3649798951487624,0.06293347561305042,4.833427953781513,-0.13910353888401278,0.3594692564336193,0.88232421875,8,7,-0.06704835485160231,0.09019380574069304
delta_tilt_fixed_6_2,15,1.2282576049993592,-0.0737888145363529,-5.667141618703943,-0.15494498038670443,0.0017989210274185934,0.09844970703125,10,5,-0.09104035335025747,-0.04984219599314725
tilted_standalone_fixed_6_2,15,1.2276748933553887,-0.07437152618032332,-5.7118951417141455,-0.13308062840882492,-0.0171698191090123,0.02996826171875,9,6,-0.08466746313466,-0.059995828595085725
delta_tilt,15,1.2320967470002568,-0.0699496725354552,-5.372287153970906,-0.16544334872389313,0.03487836821016581,0.2275390625,11,4,-0.10906895743010171,-0.04511976036274091
tilted_standalone,15,1.2141180632655426,-0.0879283562701693,-6.753089210254354,-0.17198799639511286,0.009546468094439006,0.088623046875,11,4,-0.12235503348039607,-0.06701414148607292
selected_transparent,15,1.2449495567696305,-0.057096862766081495,-4.385163378924791,-0.15098765691397598,0.04824985027560582,0.3115234375,11,4,-0.09529808982005845,-0.031348892752697644
