held_out_participant,training_sessions,test_sessions,mae_selected_lambda,selected_transparent_family,selected_transparent_parameter
p01,240,15,10.5,delta_tilt,10.5
p02,242,13,11.2,delta_tilt,11.2
p03,254,1,11.2,delta_tilt,11.2
p04,226,29,10.8,delta_tilt,10.8
p05,252,3,15.0,delta_tilt,15.0
p06,227,28,12.0,delta_tilt,12.0
p07,206,49,11.9,delta_tilt,11.9
p08,199,56,9.9,delta_tilt,9.9
p09,253,2,10.9,upper_80,
p10,254,1,10.9,delta_tilt,10.9
p11,245,10,10.7,delta_tilt,10.7
p12,253,2,10.5,delta_tilt,10.5
p13,253,2,11.4,delta_tilt,11.4
p14,243,12,11.0,delta_tilt,11.0
p15,223,32,8.8,delta_tilt,8.8
